Region,Sub Region,City,City Index,State,Year,MMWR Week,Lookup Index,Deaths_Pneumonia_and_Influenza,Average LST_degC,Average_NDVI,TotalpopA,Malepop,pctmale,Femalepop,Medianage,TotalpopB,Age60andover,pct60andover,Age65andover,pct65andover,Age75andover,pct75andover,TotalpopC,Whitepop,pct_white,Blackpop,pct_black,AmericanIndian_AlaskaNativepop,Asianpop,NativeHawaiian_PacificIslanderpop,Otherpop
New England & Mid Atlantic,New England,Providence,28,RI,2015,47,2015_47,1,9.57,4244.29,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,48,2015_48,3,8.61,4234.18,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,49,2015_49,0,10.37,4220.71,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,50,2015_50,3,8.72,4212.35,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,51,2015_51,0,9.59,4162.14,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,52,2015_52,4,4.92,4162.14,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,New England,Providence,28,RI,2015,53,2015_53,5,,,179204,89090,0.497142921,90114,49,179204,24749,0.138105176,17209,0.096030223,6621,0.03694672,179204,92348,0.515323319,25498,0.14228477,1646,10922,211,39957
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,1,2010_1,0,0.63,1757.57,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,2,2010_2,4,2.53,1757.57,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,3,2010_3,2,5.31,1580.79,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,4,2010_4,3,4.08,1580.79,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,5,2010_5,0,1.97,717.78,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,6,2010_6,0,1.49,372.57,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,7,2010_7,4,2.4,321.05,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,8,2010_8,3,3.67,252.36,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,9,2010_9,4,5.81,438.71,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,10,2010_10,2,13.26,1556.86,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,11,2010_11,2,20.66,1556.86,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,12,2010_12,2,16.79,1655.06,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,13,2010_13,2,15.49,1671.43,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,14,2010_14,4,23.88,2062.29,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,15,2010_15,1,21.5,2355.43,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,16,2010_16,0,20.89,2577.24,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,17,2010_17,1,20.65,3131.79,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,18,2010_18,0,28.62,3131.79,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,19,2010_19,2,22.67,3558.93,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,20,2010_20,2,26.43,3558.93,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,21,2010_21,0,29.76,3818.78,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,22,2010_22,1,33.16,3922.71,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,23,2010_23,4,30.2,3831.4,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
New England & Mid Atlantic,Mid Atltantic,Jersey City,14,NJ,2010,24,2010_24,0,32.46,3709.64,248005,123042,0.496127094,124963,43.1,248005,31142,0.125570049,20497,0.082647527,7334,0.029571984,248005,82432,0.332380396,64987,0.262039072,606,58578,0,33115
